# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 11.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
0 0 -20 5 0 20.61552813 165.9637565 0 0.5144889254 1.041211928 0.2745550918 2.135167572
0 1 -16 5 0 16.76305461 162.6459754 0 0.5771789867 1.207090682 0.325038793 2.378683818
0 2 -12 5 0 13 157.3801351 0 0.6736734539 1.430121356 0.410410718 2.715140313
0 3 -8 5 0 9.433981132 147.9946168 0 0.7667764273 1.616877891 0.5340396595 3.09501879
0 4 -4 5 0 6.403124237 128.6598083 0 0.9135464291 1.869549958 0.7462980996 3.577823918
0 5 0 5 0 5 90 0 0.9362884226 1.905024924 0.8138366248 3.702811112
0 6 4 5 0 6.403124237 51.34019175 0 0.7921949223 1.663927359 0.5769784456 3.20658933
0 7 8 5 0 9.433981132 32.00538321 0 0.7426682102 1.57078973 0.4837695312 2.952391813
0 8 12 5 0 13 22.61986495 0 0.6136524175 1.295493627 0.37317369 2.57791918
0 9 16 5 0 16.76305461 17.35402464 0 0.5098503388 1.028145727 0.2928594212 2.228280211
0 10 20 5 0 20.61552813 14.03624347 0 0.4583422708 0.87449725 0.2547993398 2.027433445
1 0 -20 9 0 21.9317122 155.7722547 0 0.5254708155 1.071682545 0.2788019412 2.157312511
1 1 -16 9 0 18.35755975 150.6422465 0 0.580749821 1.21598871 0.3278666569 2.391181096
1 2 -12 9 0 15 143.1301024 0 0.6871625428 1.458723303 0.4102482815 2.714569196
1 3 -8 9 0 12.04159458 131.6335393 0 0.8200361914 1.713759488 0.5484702164 3.133485185
1 4 -4 9 0 9.848857802 113.962489 0 0.9973807784 1.996216305 0.7665107505 3.616377931
1 5 0 9 0 9 90 0 0.8507871297 1.766870114 0.6702414965 3.422752916
1 6 4 9 0 9.848857802 66.03751103 0 0.5855072802 1.227759015 0.3973075474 2.668328105
1 7 8 9 0 12.04159458 48.36646066 0 0.5635505197 1.172616852 0.3606660049 2.528735351
1 8 12 9 0 15 36.86989765 0 0.535475127 1.098891468 0.3155317123 2.335856915
1 9 16 9 0 18.35755975 29.35775354 0 0.5172136683 1.048832306 0.2945412881 2.236541787
1 10 20 9 0 21.9317122 24.22774532 0 0.4461327111 0.8355448375 0.2461160201 1.977410473
2 0 -20 13 0 23.85372088 146.9761324 0 0.5557217113 1.152434511 0.2878535429 2.203406874
2 1 -16 13 0 20.61552813 140.9061411 0 0.642036459 1.36072713 0.3428459335 2.455632316
2 2 -12 13 0 17.69180601 132.70939 0 0.7319165611 1.549751095 0.4276018954 2.774340153
2 3 -8 13 0 15.26433752 121.6075022 0 0.8187262656 1.711453084 0.5475990302 3.131191797
2 4 -4 13 0 13.60147051 107.102729 0 0.9989329318 1.998459724 0.7541292904 3.59288379
2 5 0 13 0 13 90 0 0.817594774 1.70945788 0.5717218961 3.19338545
2 6 4 13 0 13.60147051 72.89727103 0 0.5168029058 1.047686087 0.3271482047 2.388016259
2 7 8 13 0 15.26433752 58.39249775 0 0.4712805285 0.914657981 0.2692077532 2.106791865
2 8 12 13 0 17.69180601 47.29061004 0 0.4581594972 0.8739218304 0.2664879144 2.092142011
2 9 16 13 0 20.61552813 39.09385889 0 0.4334989737 0.7941004829 0.2367520065 1.921448558
2 10 20 13 0 23.85372088 33.02386756 0 0.437522975 0.8074306822 0.2364291051 1.919479552
3 0 -20 17 0 26.2488095 139.6354634 0 0.60366179 1.271812391 0.2954646208 2.241057296
3 1 -16 17 0 23.34523506 133.2642954 0 0.6652346255 1.411935168 0.3527614819 2.496764947
3 2 -12 17 0 20.80865205 125.217593 0 0.711256002 1.508440827 0.4235865427 2.760728661
3 3 -8 17 0 18.78829423 115.2011236 0 0.9273045235 1.891115098 0.5289712733 3.081261282
3 4 -4 17 0 17.4642492 103.2405199 0 0.9956680025 1.993736673 0.6974768047 3.480217145
3 5 0 17 0 17 90 0 0.801857955 1.681418598 0.4896035106 2.969685808
3 6 4 17 0 17.4642492 76.75948008 0 0.5317681447 1.088869261 0.3001384901 2.263700249
3 7 8 17 0 18.78829423 64.79887635 0 0.4237829587 0.7613974798 0.2297572676 1.878182402
