# Experiment: figure_02_eve_position_map
# Rows are ordered by y first and x second; mesh cols = 41.
# Coordinates and distances are normalized by wavelength.
# One diffuse channel realization is fixed over the full map.
# Position dependence enters through LOS direction and path loss.
grid_row grid_col eve_x_lambda eve_y_lambda eve_z_lambda eve_distance_lambda eve_azimuth_deg eve_elevation_deg vulnerability_qpsk min_entropy_leakage_qpsk vulnerability_16qam min_entropy_leakage_16qam
0 0 -20 5 0 20.61552813 165.9637565 0 0.5142844816 1.040638527 0.2745443134 2.135110934
0 1 -19 5 0 19.6468827 165.2564372 0 0.5274292465 1.077049477 0.285044718 2.189260173
0 2 -18 5 0 18.68154169 164.475889 0 0.542244781 1.117016167 0.2966316131 2.246744265
0 3 -17 5 0 17.72004515 163.6104597 0 0.5586113596 1.159916817 0.3100140158 2.310405346
0 4 -16 5 0 16.76305461 162.6459754 0 0.577393503 1.207626779 0.3249303927 2.378202599
0 5 -15 5 0 15.8113883 161.5650512 0 0.5981788267 1.25864875 0.3420525079 2.452289713
0 6 -14 5 0 14.86606875 160.3461759 0 0.6213698043 1.31352404 0.3617587017 2.533099625
0 7 -13 5 0 13.92838828 158.962489 0 0.6468712694 1.371550542 0.3843878273 2.620634555
0 8 -12 5 0 13 157.3801351 0 0.6731197707 1.428935137 0.4100316466 2.713807168
0 9 -11 5 0 12.08304597 155.5560452 0 0.6998302126 1.485076854 0.4384942525 2.810629838
0 10 -10 5 0 11.18033989 153.4349488 0 0.7222834775 1.530637074 0.4693356363 2.908691912
0 11 -9 5 0 10.29563014 150.9453959 0 0.7402407384 1.56606644 0.4990290582 2.997195731
0 12 -8 5 0 9.433981132 147.9946168 0 0.7664368952 1.616238917 0.5335214631 3.093618216
0 13 -7 5 0 8.602325267 144.4623222 0 0.8307030285 1.732404719 0.5980074525 3.258235369
0 14 -6 5 0 7.810249676 140.1944289 0 0.8910836459 1.833632769 0.6604338858 3.40148605
0 15 -5 5 0 7.071067812 135 0 0.9393471616 1.909730349 0.7331976763 3.552274119
0 16 -4 5 0 6.403124237 128.6598083 0 0.9142693822 1.870691212 0.7442746931 3.573907087
0 17 -3 5 0 5.830951895 120.9637565 0 0.9654570974 1.949284056 0.8330946811 3.736552372
0 18 -2 5 0 5.385164807 111.8014095 0 0.9999999941 1.999999991 0.9105188595 3.864760805
0 19 -1 5 0 5.099019514 101.3099325 0 1 2 0.9527026305 3.930097877
0 20 0 5 0 5 90 0 0.9366770654 1.905623646 0.812561106 3.700548215
0 21 1 5 0 5.099019514 78.69006753 0 0.8432584082 1.754046704 0.6767539785 3.436703369
0 22 2 5 0 5.385164807 68.19859051 0 0.755720112 1.595923923 0.601227689 3.265983358
0 23 3 5 0 5.830951895 59.03624347 0 0.8598137428 1.782096075 0.6056808599 3.276629727
0 24 4 5 0 6.403124237 51.34019175 0 0.7941659708 1.667512449 0.5779767001 3.20908324
0 25 5 5 0 7.071067812 45 0 0.7670992255 1.61748511 0.5789955089 3.211624063
0 26 6 5 0 7.810249676 39.80557109 0 0.7396290045 1.564873706 0.5191722173 3.054285087
0 27 7 5 0 8.602325267 35.53767779 0 0.7568986535 1.598172046 0.5062661116 3.017967822
0 28 8 5 0 9.433981132 32.00538321 0 0.7424800953 1.570424255 0.4828125429 2.949535061
0 29 9 5 0 10.29563014 29.0546041 0 0.7266665612 1.539365425 0.4643652028 2.893331773
0 30 10 5 0 11.18033989 26.56505118 0 0.6985939027 1.482525956 0.440950367 2.818688181
0 31 11 5 0 12.08304597 24.44395478 0 0.6573741951 1.39478673 0.4073124688 2.704207884
0 32 12 5 0 13 22.61986495 0 0.6134835748 1.295096623 0.3734471194 2.578975875
0 33 13 5 0 13.92838828 21.03751103 0 0.5752314239 1.202214395 0.3434658867 2.458238722
0 34 14 5 0 14.86606875 19.65382406 0 0.5464103975 1.128056842 0.3199318841 2.355836682
0 35 15 5 0 15.8113883 18.43494882 0 0.5259688434 1.073049247 0.3040723163 2.28248638
0 36 16 5 0 16.76305461 17.35402464 0 0.510018662 1.028621943 0.2928259557 2.228115343
0 37 17 5 0 17.72004515 16.38954033 0 0.4959573019 0.9882878262 0.282281884 2.175208449
0 38 18 5 0 18.68154169 15.524111 0 0.4826973152 0.9491907076 0.2724625813 2.124130016
0 39 19 5 0 19.6468827 14.74356284 0 0.4700904393 0.9110102444 0.2632755634 2.074645525
0 40 20 5 0 20.61552813 14.03624347 0 0.458375152 0.8746007443 0.2546762083 2.026736095
1 0 -20 6 0 20.88061302 163.3007558 0 0.5156498769 1.044463722 0.2756618288 2.140971414
1 1 -19 6 0 19.92485885 162.4744316 0 0.528597575 1.080241712 0.286084512 2.194513301
1 2 -18 6 0 18.97366596 161.5650512 0 0.5427991522 1.118490372 0.2978076237 2.252452592
1 3 -17 6 0 18.02775638 160.5599652 0 0.5589069971 1.160680142 0.3107989166 2.31405338
1 4 -16 6 0 17.08800749 159.4439548 0 0.5763453874 1.205005542 0.3253719917 2.380161973
1 5 -15 6 0 16.15549442 158.1985905 0 0.5957385099 1.252751126 0.3419133153 2.451702513
1 6 -14 6 0 15.23154621 156.8014095 0 0.6161227218 1.301289647 0.3610768915 2.530377998
1 7 -13 6 0 14.31782106 155.2248594 0 0.6377424378 1.351045792 0.3815722582 2.610028191
1 8 -12 6 0 13.41640786 153.4349488 0 0.6588487881 1.398019296 0.4049222912 2.695716971
1 9 -11 6 0 12.52996409 151.3895403 0 0.6796165668 1.442792926 0.4294644267 2.78061054
1 10 -10 6 0 11.66190379 149.0362435 0 0.7016803093 1.488885783 0.4554908042 2.865493833
1 11 -9 6 0 10.81665383 146.3099325 0 0.7413540691 1.56823464 0.4952654908 2.986274005
1 12 -8 6 0 10 143.1301024 0 0.797878407 1.674240808 0.5465380431 3.128393827
1 13 -7 6 0 9.219544457 139.3987054 0 0.8605187182 1.78327848 0.5961654279 3.25378462
1 14 -6 6 0 8.485281374 135 0 0.9036138599 1.853778305 0.6621060623 3.405134245
1 15 -5 6 0 7.810249676 129.8055711 0 0.89659324 1.842525527 0.6903967011 3.465497476
1 16 -4 6 0 7.211102551 123.6900675 0 0.8914456566 1.834218758 0.7395306483 3.564681843
1 17 -3 6 0 6.708203932 116.5650512 0 0.9986267011 1.998017387 0.8173644245 3.709051357
1 18 -2 6 0 6.32455532 108.4349488 0 0.999999998 1.999999997 0.8888184947 3.829960742
1 19 -1 6 0 6.08276253 99.46232221 0 0.9999999999 2 0.9231827141 3.884688116
1 20 0 6 0 6 90 0 0.9093512753 1.862909609 0.7700789014 3.623078175
1 21 1 6 0 6.08276253 80.53767779 0 0.7488644407 1.582776491 0.591697749 3.242932312
1 22 2 6 0 6.32455532 71.56505118 0 0.7699912247 1.622913909 0.5856570778 3.22812807
1 23 3 6 0 6.708203932 63.43494882 0 0.7257536254 1.537551779 0.5409098209 3.113459997
1 24 4 6 0 7.211102551 56.30993247 0 0.7882293667 1.656687405 0.5391269277 3.108696875
